AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
,In Stock,,,,,,,,,,,,,,He3D,,,$46 USD,3D Printer Filament ABS - Free Shipping Worldwide
,Out Of Stock,Online and TF Card offline.,PLA/ABS/TPU/PVA,1.75mm,,400*400*465mm,10 Kg,0.4mm,"Win, Mac and Linux",Input : 100 - 240V AC output : 24V,,10 - 80 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-Host, Simplify 3D",Creality,STL/OBJ/AMF,,$599 USD,Creality CP-01 3-in-1 Modular DIY 3D Printer Kit
,Out Of Stock,"USB, SD Card ",PLA/ABS/Soft rubber/wood Etc,1.75 mm,0.05-0.4mm,,4.2 kg,0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,150×150×200 mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$299 USD,CREALITY 3D Ender-2 Mini 3D Printer
,Out Of Stock,"USB, SD Card ",PLA/ABS/wood/flexible rubber/carbon fiber,1.75 mm,0.05-0.4mm,,,0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,200*200*200mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$885 USD,CREALITY 3D CR-2020 Auto Levelling Assembled 3D Printer
,Out Of Stock,,"PLA, PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.1 mm,390 x 370 x 485 mm,12 Kg,"0.4 mm
",Windows / MAC,"100 to 240 V, 120 W",,30 to 250 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-host, Simplify 3d, Slic3r",Cbot 3D,"STL, GCODE",1 Year,$600 USD,Cbot CK 2 Multi Functional 3D Printer
,Out Of Stock,"USB, SD Card","PLA, ABS, Wood, Nylon and TPU (Flexible)",1.75 mm,0.1 to 0.4 mm,480*370*410mm,20 Kg,0.4 mm,Windows/Linux/MAC,110 V to 240 V,MK3 HeatBed,30 to 300 mm/sec,290 x 200 x 230 mm,"Cura, Repetier Host",Cbot 3D,"STL, DAE, OBJ, Gcode",1 Year,$850 USD,Cbot 3D D2 - Multi Functional 3D Printer - Metal Chassis
,Out Of Stock,"USB, SD card, Wifi","PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.05 - 0.4mm,370 x 400 x390 mm,12. 8 Kg,0.4 mm,Windows/Mac,"110-240V AC,1.5A,50/60HZ",Glass,30 to 300 mm/sec,160 x 160 x 180 mm,Cura,Cbot 3D,"STL, Gcode ",One year ,$450 USD,Cbot 3D CN1- Fully Assembled Desktop 3D Printer
,Out Of Stock,"USB, SD card","ABS, PLA, Wood and TPU",1.75 mm,0.1 - 0.4mm,480 x 370 x 410 mm,20 Kg,0.4 mm,Windows/Mac,110-220V,,30 to 300 mm/sec,200 x 200 x 200 mm,Cura,Cbot 3D,"STL, Gcode ",,$650 USD,Cbot 3D CK1 High Precision 3D Printer
,Out Of Stock,"USB, SD card","PLA, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.05 - 0.4mm,370 x 400 x390 mm,12 Kg,0.4 mm,Windows/Mac,"110-240V AC,1.5A,50/60HZ",Glass,30 to 300 mm/sec,210 x 200 x 180 mm,Cura,Cbot 3D,"STL, Gcode ",One year ,$499 USD,Cbot 3D C Box- Fully Assembled Metal Frame 3D Printer
,In Stock,USB or SD Card or Type C data cable,"PLA ,ABS, PETG,TPU etc.",1.75mm,,412*492*402 mm,8 Kg,0.4 mm,Win/mac/linux,100 - 120V / 200 - 240V  50 / 60 HZOutput Voltage - 24VRated Power - 270W,,60-100mm/s,235*235*270mm,"repetier-host, CURA, Simplify3D",Biqu,"STL,G-Code,AMF,OBJ",One Year,$298 USD,BIQU B1 3D Printer Kit
,Out Of Stock,"LCD, USB, SD Card.","PLA, ABS, WOOD, HIPS, NYLON, PVA",1.75mm,,400*425*415 mm,10.5kg,,"WIndows, Mac and Linux","With UL CertificationInput: 100-120V, 6.8A/ 200-240V,3.4A 50/60HzOutput: 24V/14.6A Power cable: with UL Certification and ground line. ",Heated Bed: 3mm aluminum alloy platform," Normal: 80mm/s, Max.: 200mm/s",270*210*200mm,"Cura, Slic3d, simplify3d, etc.",Hictop,".stl, .obj",One Year,$549 USD,Athorbot Buddy Couple Dual Extruder 2-in-1 3D Printer.
,Out Of Stock,"LCD, USB, SD Card.","PLA, ABS, WOOD, HIPS, NYLON, FLEXIBLE, PC and PET-G",1.75mm,,520*430*520mm,16kg,,"WIndows, Mac and Linux","With UL CertificationInput: 100-120V, 6.8A/ 200-240V,3.4A 50/60HzOutput: 24V/14.6A Power cable: with UL Certification and ground line. ",Heated Bed: 3mm aluminum alloy platform," Normal: 80mm/s, Max.: 200mm/s",300*300*300mm,"Cura, Slic3d, simplify3d, etc.",Hictop,".stl, .obj",One Year,$495 USD,Athorbot Brother Fully-Assembled Desktop 3D Printer
,In Stock,"USB, SD-Card","PLA, ABS, Flexible PLA, TPU, Wood, PVA, HIPS",1.75 mm,0.1 - 0.3 mm,550 x 405 x 640 mm,14 kg,0.4 mm,"Windows, MacOS, Linux","110-240V AC, 50/60Hz, 1.5A",,150 mm /sec,300 x 300 x 400 mm,"Cura, Repetier Host, Simplify3D",Artillery,".STL, .OBJ, .GCODE",One Year,$399 USD,Artillery Sidewinder X1 V4 3D Printer Kit
,In Stock,"USB,TF Card, USB Stick","PLA,ABS,TPU,Flexible Filaments.",1.75mm,,430*390*590mm,8.9 Kg,0.4mm,"Win, Mac and Linux","110/220 V, 350W",,250mm/s,220*220*250mm,"Cura, Repetier-Host, Simplify 3D",Artillery,STL/OBJ/Gcode/JPG/PNG,,$219 USD,Artillery Hornet 3D Printer Kit
,In Stock,"USB,TF Card, USB Stick","PLA,ABS,TPU,Flexible Filaments.",1.75mm,,430*390*590mm,8.9 Kg,0.4mm,"Win, Mac and Linux",600W (Max),,250mm/s,220*220*250mm,"Cura, Repetier-Host, Simplify 3D",Artillery,STL/OBJ/Gcode/JPG/PNG,,$269 USD,Artillery Genius 3D Printer Kit
12 Voltage DC,Out Of Stock,"SD Card, USB line","PLA, ABS, HIPS, Wood",,,475*410*460mm,8 kg,0.4mm,,"110V/220V AC, 50/60Hz",,20~60mm/s,210 x 210 x 250 (mm),"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$275 USD,Anycubic Reprap i3 3D Printer Kit
"100-240 V, Power rate 500W",In Stock,"USB, SD Card","PLA, ABS, PVA, HIPS,PETG, TPU,TPE,Wood,Flex, conductive consumables",1.75 mm,0.05mm to 0.4mm,670 x 615 x 695 mm,38 kg,0.4 mm ,Windows/MAC/LINUX,500 W,HeatBed ,max 80 to 220 mm/sec,280 X 250 X 300 mm,"Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,3MF/STL/OBJ/FPP/BMP /PNG/JPG/JPEG Output: GX/G ,One Year,"$2,499 USD",Flashforge Guider 2S 3D Printer
